date,total_crashes,total_segments,total_positive_segments,crash_rate,avg_crashes_last_7_days,avg_crashes_last_30_days,temperature_2m_mean,precipitation_sum,windspeed_10m_max,rain_indicator,crashes_7d_avg_city,crashes_30d_avg_city,crash_rate_7d_avg_city,crash_rate_30d_avg_city,day_of_week,month,hidden_state,state_probability_max,state_label
2018-10-29,399,11641,385,0.0330727600721587,0.2581393351086676,1.026801821149386,10.6,2.1,24.5,1.0,430.8571428571428,399.4,0.0352326137911568,0.0327549179623743,0,10,2,1.0,High Risk Regime
2018-10-30,419,11641,401,0.0344472124387939,0.2590842711107293,1.029293016063912,8.0,0.0,21.9,0.0,432.57142857142856,403.3333333333333,0.0353430608563329,0.0330813503994502,1,10,2,1.0,High Risk Regime
2018-10-31,407,11641,398,0.0341895026200498,0.2601151103857057,1.0394296022678464,11.2,0.0,22.3,0.0,428.8571428571428,405.2,0.0352080699988955,0.0332445666179881,2,10,2,1.0,High Risk Regime
2018-11-01,428,11641,399,0.0342754058929645,0.2578816252899235,1.0442401855510697,15.5,0.1,24.1,1.0,420.2857142857143,407.2,0.0344103967504019,0.0333676946424992,3,11,2,1.0,High Risk Regime
2018-11-02,445,11641,418,0.0359075680783437,0.2527274289150417,1.0493943819259517,19.2,9.0,30.8,1.0,418.1428571428572,406.1333333333333,0.0342017745161805,0.0332646107150015,4,11,2,1.0,High Risk Regime
2018-11-03,379,11641,362,0.0310969847951206,0.2514388798213212,1.046645477192681,13.9,8.1,36.4,1.0,404.2857142857143,404.73333333333335,0.0331341195528121,0.0331414826904905,5,11,2,1.0,High Risk Regime
2018-11-04,279,11641,271,0.0232797869598831,0.2431062623485954,1.0430375397302638,7.9,0.0,10.5,0.0,393.7142857142857,397.9,0.0323241744081878,0.0326088823984193,6,11,2,1.0,High Risk Regime
2018-11-05,473,11641,445,0.0382269564470406,0.2367494201529078,1.0254273687827506,10.1,5.9,22.1,1.0,404.2857142857143,402.5,0.033060488176028,0.0329610858173696,0,11,2,1.0,High Risk Regime
2018-11-06,423,11641,400,0.0343613091658792,0.2431062623485954,1.0372820204449789,12.2,14.0,26.9,1.0,404.8571428571428,406.26666666666665,0.0330482162798974,0.0332588838301406,1,11,2,1.0,High Risk Regime
2018-11-07,406,11641,384,0.032986856799244,0.2434498754402543,1.0469890902843395,12.9,0.0,23.4,0.0,404.7142857142857,409.9,0.032876409734068,0.0335309108610371,2,11,2,1.0,High Risk Regime
2018-11-08,401,11641,388,0.0333304698909028,0.2433639721673395,1.0563525470320418,9.3,0.0,18.3,0.0,400.8571428571428,410.96666666666664,0.0327414188766306,0.0336397216733957,3,11,2,1.0,High Risk Regime
2018-11-09,546,11641,502,0.0431234430031784,0.2410445837986427,1.0591014517653123,7.5,14.5,21.9,1.0,415.2857142857143,414.76666666666665,0.033772258151607,0.0338859777224178,4,11,2,1.0,High Risk Regime
2018-11-10,362,11641,339,0.0291212095180826,0.2497208143630272,1.0688944248775878,6.3,1.1,34.1,1.0,412.8571428571428,412.26666666666665,0.0334900045406015,0.0336569023279786,5,11,2,1.0,High Risk Regime
2018-11-11,288,11641,277,0.0237952065973713,0.2482604587234773,1.0624516794089855,3.3,0.0,17.4,0.0,414.1428571428572,405.43333333333334,0.0335636359173856,0.0331243020359075,6,11,2,1.0,High Risk Regime
2018-11-12,309,11641,302,0.0259427884202388,0.2490335881797096,1.0448415084614724,4.7,0.1,12.0,1.0,390.7142857142857,404.9,0.0318087547706996,0.0330928041691721,0,11,2,1.0,High Risk Regime
2018-11-13,461,11641,438,0.0376256335366377,0.2349454514216991,1.0434670560948371,8.0,19.2,26.7,1.0,396.1428571428572,410.8333333333333,0.0322750868236651,0.033559545285342,1,11,2,1.0,High Risk Regime
2018-11-14,418,11641,396,0.0340176960742204,0.2382097757924577,1.0587578386736534,2.9,0.0,28.0,0.0,397.8571428571428,411.1,0.0324223495772331,0.0335795893823554,2,11,2,1.0,High Risk Regime
2018-11-15,538,11641,513,0.0440683790052401,0.239240615067434,1.059445064856971,0.6,21.1,35.0,1.0,417.42857142857144,415.6666666666667,0.033956336593567,0.0339547003407496,3,11,2,1.0,High Risk Regime
2018-11-16,424,11641,401,0.0344472124387939,0.2510093634567477,1.0712138132462847,4.1,11.0,42.9,1.0,400.0,416.3333333333333,0.0327168750843692,0.0340091057469289,4,11,2,1.0,High Risk Regime
