segment_id,total_crashes,avg_crash_rate,crash_volatility,pct_days_with_crash,avg_crashes_last_7_days,avg_crashes_last_30_days,avg_temp,avg_precip,avg_wind,crash_rate_rain,crash_rate_no_rain,segment_length,road_busway,road_living_street,road_motorway,road_motorway_link,road_primary,road_primary_link,road_residential,road_secondary,road_secondary_link,road_tertiary,road_tertiary_link,road_trunk,road_trunk_link,road_unclassified
201,297,0.10520140789988268,0.3563107198479199,0.10520140789988268,0.8130621822448182,3.483770043019163,12.635705905357842,3.8899491591709037,21.59225655064529,0.11353711790393013,0.09551986475063398,124.46793373608818,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,104,0.037935080172076655,0.212822564735757,0.037935080172076655,0.28470864294094644,1.2201798983183418,12.635705905357842,3.8899491591709037,21.59225655064529,0.03857350800582242,0.037193575655114115,533.3074069562776,0,0,1,0,0,0,0,0,0,0,0,0,0,0
207,184,0.06843957763003519,0.27318864526874587,0.06843957763003519,0.5037152913570591,2.154086820492765,12.635705905357842,3.8899491591709037,21.59225655064529,0.0735080058224163,0.06255283178360102,249.5885014823442,0,0,1,0,0,0,0,0,0,0,0,0,0,0
208,41,0.016034415330465387,0.1256323426235746,0.016034415330465387,0.11224090731325773,0.4806413766132186,12.635705905357842,3.8899491591709037,21.59225655064529,0.011644832605531296,0.021132713440405747,274.03661263264627,0,0,0,0,0,0,1,0,0,0,0,0,0,0
225,88,0.03363316386390301,0.18865665764920675,0.03363316386390301,0.24090731325772388,1.032459913961674,12.635705905357842,3.8899491591709037,21.59225655064529,0.03275109170305677,0.034657650042265425,86.0457244369001,0,0,0,0,0,0,0,1,0,0,0,0,0,0
226,72,0.028157997653500196,0.16545643248908154,0.028157997653500196,0.19710598357450138,0.8447399296050059,12.635705905357842,3.8899491591709037,21.59225655064529,0.03420669577874818,0.021132713440405747,89.32400781010153,0,0,0,0,0,0,0,1,0,0,0,0,0,0
231,22,0.008603832616347283,0.09237501745991734,0.008603832616347283,0.06022682831443097,0.2581149784904185,12.635705905357842,3.8899491591709037,21.59225655064529,0.008733624454148471,0.0084530853761623,157.35334373021686,0,0,0,0,0,0,0,1,0,0,0,0,0,0
237,155,0.055924912006257335,0.2591096345167288,0.055924912006257335,0.42315213140398905,1.8083691826359014,12.635705905357842,3.8899491591709037,21.59225655064529,0.06040756914119359,0.0507185122569738,78.25505847239906,0,0,0,0,0,0,0,1,0,0,0,0,0,0
238,29,0.01134141572154869,0.10591116494850418,0.01134141572154869,0.07938991005084083,0.3402424716464607,12.635705905357842,3.8899491591709037,21.59225655064529,0.008005822416302766,0.015215553677092139,134.5441705227738,0,0,0,0,0,0,0,0,0,1,0,0,0,0
242,77,0.028157997653500196,0.18201754364134629,0.028157997653500196,0.21079389910050841,0.8959718420023465,12.635705905357842,3.8899491591709037,21.59225655064529,0.027656477438136828,0.028740490278951817,1189.183232728552,0,0,1,0,0,0,0,0,0,0,0,0,0,0
249,91,0.03519749706687524,0.18739779602238682,0.03519749706687524,0.2491200625733281,1.067657411028549,12.635705905357842,3.8899491591709037,21.59225655064529,0.04002911208151383,0.029585798816568046,79.59920455873527,0,0,0,0,0,0,0,1,0,0,0,0,0,0
254,37,0.014470082127493155,0.11944152608647647,0.014470082127493155,0.10129057489245209,0.43410246382479467,12.635705905357842,3.8899491591709037,21.59225655064529,0.013828238719068414,0.015215553677092139,273.04322248191386,0,0,0,0,0,0,1,0,0,0,0,0,0,0
255,94,0.03676183026984748,0.18821331498709892,0.03676183026984748,0.25733281188893237,1.1028549080954244,12.635705905357842,3.8899491591709037,21.59225655064529,0.04294032023289665,0.029585798816568046,86.12886773493697,0,0,0,0,0,0,0,1,0,0,0,0,0,0
259,228,0.08290965975752836,0.3074899171942455,0.08290965975752836,0.624168947985921,2.638639030113414,12.635705905357842,3.8899491591709037,21.59225655064529,0.08660844250363901,0.07861369399830938,1660.6652631800978,0,0,1,0,0,0,0,0,0,0,0,0,0,0
